id,username,created_at,lng,lat,text
1517712677476487168,trafficgifs,Sat Apr 23 03:51:14 +0000 2022,-0.06668,51.5173,Whitechapel Road at Plumbers Row https://t.co/mYRiQCK8tG
1517712690873090054,Scarborough_GB,Sat Apr 23 03:51:17 +0000 2022,-1.2074825,53.9318445,Vote Labour.  You'll be glad you did. We deserve better 🌹 #LocalElections2022
1517712705926410241,g_cairns77,Sat Apr 23 03:51:21 +0000 2022,0.135916,52.200974,@ThalesDefence would you care to comment on Russia using your technology after sanctions?
1517712709080567810,MarieKGonce,Sat Apr 23 03:51:22 +0000 2022,4.2279195000000005,50.851519999999994,@TheMoonCarl Wolfies
1517712720619003904,PeterDMoran,Sat Apr 23 03:51:24 +0000 2022,-3.927119,50.997507,@karin_beebe Very funny!!
1517712750444695554,jimmyangel3,Sat Apr 23 03:51:32 +0000 2022,-1.8630965000000002,54.8425435,United
1517712763614867461,Arrivaissues,Sat Apr 23 03:51:35 +0000 2022,-0.2631405,51.5651955,"Their days are outnumbered, hence why all these attacks and pushing more forward into Palestinian lands!"
1517712800172412928,Mfredition,Sat Apr 23 03:51:43 +0000 2022,9.1593365,45.461345,@paolossssnsfw poesia
1517712832271466497,MalWolf2,Sat Apr 23 03:51:51 +0000 2022,-7.556151,52.150999,@a_renzzo Stay strong Amir. You deserve so much better and I hope you get it. Blessings and good thoughts to you.
1517712832929976320,Scarborough_GB,Sat Apr 23 03:51:51 +0000 2022,-1.2074825,53.9318445,@SarahChampionMP @CommonsIDC @FCDOGovUK She's on a photo shoot
1517712837149347840,curious_corn,Sat Apr 23 03:51:52 +0000 2022,4.9040535,52.354728,"@zacandahalf @HireBlackPpl @MattJLowe11 @traehnoil2 @NordicSunGod @adarrable Oh jeez, here come the white knights https://t.co/IemR04wMhf"
1517712838302879745,131lilly163,Sat Apr 23 03:51:53 +0000 2022,12.5451455,41.898416499999996,@JOOH0NEYS Yeah 😅
1517712839271759872,_BB_RADIO_MUSIC,Sat Apr 23 03:51:53 +0000 2022,13.1199934,52.381905,#nowplaying #MattSImons ~ Matt SImons | After The Landslide (Remix) ||| #bbradio #rocks #berlin
1517712846599204866,Nelson_MikeA,Sat Apr 23 03:51:55 +0000 2022,9.19031519,45.46536939,Just posted a photo @ Galleria Vittorio Emanuele https://t.co/SFNqXs0bre
1517712852211146753,AdamsoWewe,Sat Apr 23 03:51:56 +0000 2022,2.4574935,48.937126500000005,What
1517712897497092103,BensOussama24,Sat Apr 23 03:52:07 +0000 2022,6.643884,36.4359045,Best project ever. I am very happy to be participating in this project. So hopefully the project will be better in… https://t.co/4F4X3tnk7r
1517712970557665280,PeterDMoran,Sat Apr 23 03:52:24 +0000 2022,-3.927119,50.997507,@HeidiOBrien8 So sorry for your loss.
1517712981664178178,NewToMyHome,Sat Apr 23 03:52:27 +0000 2022,-9.102264,53.27791,"Site At Mincloon,Rahoon,Co. Galway ⇨ €375,000 | Site  For Sale | https://t.co/9JXIQX8Bjo | #galway #rahoon"
1517713014056787968,ahmedidad,Sat Apr 23 03:52:34 +0000 2022,-0.2631405,51.5651955,@hcrryroberts @Hoyfloyd21 @RedlingMUFC85 @JohnBrewin_ Faked injury https://t.co/GFjLTSYt1C
1517713057161621507,ClubAfricana1,Sat Apr 23 03:52:45 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/LvxuAedK6l
1517713062949756931,protecths,Sat Apr 23 03:52:46 +0000 2022,-2.0988680000000004,53.4202645,@OnlyaMoment3 @OldGuy_Wims @CubeSteve @Godfly__ @WondersNorbit @pray2pesci @Felix_Cat7 @zypisfy @LakeCountry… https://t.co/6tMQYhPtO7
